20.69008,90.45371,12/01/2024 10:51
20.69006,90.45382,12/01/2024 10:51
20.69003,90.45419,12/01/2024 10:52
20.69014,90.45429,12/01/2024 10:52
20.69019,90.45449,12/01/2024 10:53
20.69014,90.45477,12/01/2024 10:53
20.69008,90.45493,12/01/2024 10:54
20.69008,90.45501,12/01/2024 10:54
20.69015,90.45507,12/01/2024 10:55
20.69024,90.45511,12/01/2024 10:55
20.69019,90.45525,12/01/2024 10:56
20.69017,90.45522,12/01/2024 10:56
20.69027,90.45521,12/01/2024 10:57
20.69039,90.45522,12/01/2024 10:57
20.6905,90.45521,12/01/2024 10:58
20.6906,90.45521,12/01/2024 10:58
20.69068,90.45523,12/01/2024 10:59
20.69076,90.45527,12/01/2024 10:59
20.69082,90.45532,12/01/2024 11:00
20.69076,90.4554,12/01/2024 11:00
20.69072,90.45542,12/01/2024 11:01
20.69072,90.45544,12/01/2024 11:01
20.69073,90.45546,12/01/2024 11:02
20.69075,90.4554,12/01/2024 11:02
20.69074,90.45534,12/01/2024 11:03
20.69066,90.45527,12/01/2024 11:03
20.69062,90.45525,12/01/2024 11:04
20.69052,90.45514,12/01/2024 11:04
20.69062,90.45513,12/01/2024 11:05
20.69063,90.4553,12/01/2024 11:05
20.69068,90.45537,12/01/2024 11:06
20.69077,90.45543,12/01/2024 11:06
20.69085,90.45556,12/01/2024 11:07
20.69081,90.4559,12/01/2024 11:07
20.69068,90.45622,12/01/2024 11:08
20.6906,90.45627,12/01/2024 11:08
20.69039,90.4561,12/01/2024 11:09
20.69039,90.45568,12/01/2024 11:09
20.69039,90.45523,12/01/2024 11:10
20.69032,90.45485,12/01/2024 11:10
20.69003,90.45489,12/01/2024 11:11
20.68998,90.45527,12/01/2024 11:11
20.68986,90.45561,12/01/2024 11:12
20.68967,90.45588,12/01/2024 11:12
20.68946,90.45573,12/01/2024 11:13
20.68922,90.45556,12/01/2024 11:13
20.68929,90.45514,12/01/2024 11:14
20.68939,90.45471,12/01/2024 11:14
20.68922,90.45448,12/01/2024 11:15
20.68921,90.45449,12/01/2024 11:15
20.68902,90.45481,12/01/2024 11:15
20.68897,90.45518,12/01/2024 11:16
20.68895,90.45552,12/01/2024 11:16
20.68866,90.4555,12/01/2024 11:17
20.68852,90.45526,12/01/2024 11:17
20.68856,90.45485,12/01/2024 11:18
20.6886,90.45444,12/01/2024 11:18
20.68846,90.45415,12/01/2024 11:19
20.68816,90.45401,12/01/2024 11:19
20.68805,90.45431,12/01/2024 11:20
20.68801,90.45468,12/01/2024 11:20
20.6879,90.45501,12/01/2024 11:21
20.68763,90.4551,12/01/2024 11:21
20.68744,90.45503,12/01/2024 11:22
20.68741,90.45477,12/01/2024 11:22
20.68743,90.45436,12/01/2024 11:23
20.68746,90.45396,12/01/2024 11:23
20.68744,90.45359,12/01/2024 11:24
20.68711,90.45352,12/01/2024 11:24
20.687,90.45388,12/01/2024 11:25
20.68687,90.45423,12/01/2024 11:25
20.68669,90.45452,12/01/2024 11:26
20.68643,90.4544,12/01/2024 11:26
20.68638,90.45404,12/01/2024 11:27
20.68647,90.45365,12/01/2024 11:27
20.68656,90.45328,12/01/2024 11:28
20.68638,90.45325,12/01/2024 11:28
20.68615,90.45358,12/01/2024 11:29
20.68588,90.45378,12/01/2024 11:29
20.68576,90.45354,12/01/2024 11:30
20.6859,90.45323,12/01/2024 11:30
20.68607,90.45299,12/01/2024 11:31
20.68577,90.45299,12/01/2024 11:31
20.68548,90.45321,12/01/2024 11:32
20.68519,90.45317,12/01/2024 11:32
20.68535,90.45292,12/01/2024 11:33
20.68563,90.45274,12/01/2024 11:33
20.68558,90.45243,12/01/2024 11:34
20.68527,90.45244,12/01/2024 11:34
20.68497,90.45262,12/01/2024 11:35
20.68473,90.4525,12/01/2024 11:35
20.68493,90.45226,12/01/2024 11:36
20.68528,90.45218,12/01/2024 11:36
20.68538,90.45197,12/01/2024 11:37
20.68536,90.45183,12/01/2024 11:37
20.68523,90.45191,12/01/2024 11:38
20.68481,90.45197,12/01/2024 11:38
20.6844,90.45206,12/01/2024 11:39
20.68412,90.4518,12/01/2024 11:39
20.68439,90.45162,12/01/2024 11:40
20.68475,90.4515,12/01/2024 11:40
20.68514,90.4514,12/01/2024 11:41
20.68524,90.45117,12/01/2024 11:41
20.68491,90.45106,12/01/2024 11:42
20.68452,90.45102,12/01/2024 11:42
20.68432,90.45084,12/01/2024 11:43
20.68447,90.45065,12/01/2024 11:43
20.68484,90.45062,12/01/2024 11:44
20.68522,90.45071,12/01/2024 11:44
20.68544,90.45052,12/01/2024 11:45
20.68525,90.4502,12/01/2024 11:45
20.68502,90.44992,12/01/2024 11:46
20.68477,90.44969,12/01/2024 11:46
20.68496,90.44946,12/01/2024 11:47
20.68493,90.44942,12/01/2024 11:47
20.68504,90.44955,12/01/2024 11:48
20.68519,90.44965,12/01/2024 11:48
20.68512,90.44993,12/01/2024 11:49
20.68502,90.45032,12/01/2024 11:49
20.68501,90.45075,12/01/2024 11:50
20.68501,90.45121,12/01/2024 11:50
20.6854,90.45254,12/01/2024 11:51
20.68641,90.45361,12/01/2024 11:51
20.68806,90.45433,12/01/2024 11:52
20.69024,90.45576,12/01/2024 11:52
20.69252,90.45734,12/01/2024 11:53
20.69492,90.45877,12/01/2024 11:53
20.69449,90.46159,12/01/2024 11:54
20.6925,90.46364,12/01/2024 11:54
20.69034,90.46472,12/01/2024 11:55
20.68996,90.46456,12/01/2024 11:55
20.68981,90.46446,12/01/2024 11:56
20.68976,90.46438,12/01/2024 11:56
20.68975,90.46424,12/01/2024 11:57
20.68959,90.4637,12/01/2024 11:57
20.68945,90.46319,12/01/2024 11:58
20.6893,90.46258,12/01/2024 11:58
20.68912,90.46194,12/01/2024 11:59
20.68897,90.46128,12/01/2024 11:59
20.68881,90.46063,12/01/2024 12:00
20.68866,90.46019,12/01/2024 12:00
20.68855,90.46009,12/01/2024 12:01
20.68818,90.46017,12/01/2024 12:01
20.6877,90.4606,12/01/2024 12:02
20.68728,90.46091,12/01/2024 12:02
20.68718,90.4611,12/01/2024 12:03
20.68702,90.46144,12/01/2024 12:03
20.68687,90.46176,12/01/2024 12:04
20.6865,90.46215,12/01/2024 12:04
20.68622,90.46238,12/01/2024 12:05
20.686,90.4627,12/01/2024 12:05
20.68551,90.46308,12/01/2024 12:06
20.68509,90.46337,12/01/2024 12:06
20.68491,90.46307,12/01/2024 12:07
20.68504,90.46316,12/01/2024 12:07
20.68508,90.46318,12/01/2024 12:08
20.68514,90.46334,12/01/2024 12:08
20.68527,90.46381,12/01/2024 12:09
20.68541,90.46426,12/01/2024 12:09
20.68556,90.46472,12/01/2024 12:10
20.68571,90.46519,12/01/2024 12:10
20.68586,90.46565,12/01/2024 12:11
20.68601,90.46609,12/01/2024 12:11
20.68614,90.46656,12/01/2024 12:12
20.68626,90.46702,12/01/2024 12:12
20.68637,90.46747,12/01/2024 12:13
20.6865,90.46791,12/01/2024 12:13
20.68652,90.46806,12/01/2024 12:14
20.68626,90.46818,12/01/2024 12:14
20.68567,90.46859,12/01/2024 12:15
20.68449,90.46952,12/01/2024 12:15
20.68332,90.47052,12/01/2024 12:16
20.6831,90.47065,12/01/2024 12:16
20.68295,90.47064,12/01/2024 12:17
20.68261,90.46997,12/01/2024 12:17
20.68229,90.46927,12/01/2024 12:18
20.68206,90.46854,12/01/2024 12:18
20.68189,90.4678,12/01/2024 12:19
20.68172,90.46707,12/01/2024 12:19
20.68156,90.46633,12/01/2024 12:20
20.68142,90.46571,12/01/2024 12:20
20.68129,90.46524,12/01/2024 12:21
20.68115,90.46487,12/01/2024 12:21
20.68106,90.46476,12/01/2024 12:22
20.68087,90.46471,12/01/2024 12:22
20.68073,90.46484,12/01/2024 12:23
20.68045,90.46515,12/01/2024 12:23
20.68,90.46544,12/01/2024 12:24
20.67957,90.46565,12/01/2024 12:24
20.67914,90.46586,12/01/2024 12:25
20.67869,90.46618,12/01/2024 12:25
20.6784,90.46656,12/01/2024 12:26
20.67808,90.46633,12/01/2024 12:26
20.67792,90.46598,12/01/2024 12:27
20.6778,90.46592,12/01/2024 12:27
20.67774,90.46587,12/01/2024 12:28
20.67768,90.46615,12/01/2024 12:28
20.67765,90.46659,12/01/2024 12:29
20.67765,90.46704,12/01/2024 12:29
20.67762,90.46751,12/01/2024 12:30
20.67772,90.46796,12/01/2024 12:30
20.67785,90.46839,12/01/2024 12:31
20.67797,90.46883,12/01/2024 12:31
20.67809,90.46927,12/01/2024 12:32
20.67816,90.46972,12/01/2024 12:32
20.67826,90.47015,12/01/2024 12:33
20.67837,90.47058,12/01/2024 12:33
20.67855,90.47098,12/01/2024 12:34
20.6787,90.47139,12/01/2024 12:34
20.67867,90.4715,12/01/2024 12:35
20.67803,90.47165,12/01/2024 12:35
20.67638,90.47227,12/01/2024 12:36
20.67474,90.47298,12/01/2024 12:36
20.67443,90.47307,12/01/2024 12:37
20.6744,90.47296,12/01/2024 12:37
20.67424,90.47247,12/01/2024 12:38
20.67399,90.47178,12/01/2024 12:38
20.6738,90.47108,12/01/2024 12:39
20.67396,90.47039,12/01/2024 12:39
20.67403,90.46968,12/01/2024 12:40
20.67397,90.46897,12/01/2024 12:40
20.67392,90.46824,12/01/2024 12:41
20.67389,90.46756,12/01/2024 12:41
20.67385,90.46697,12/01/2024 12:42
20.67385,90.46638,12/01/2024 12:42
20.67387,90.4658,12/01/2024 12:43
20.67387,90.46545,12/01/2024 12:43
20.67367,90.46529,12/01/2024 12:44
20.67328,90.46546,12/01/2024 12:44
20.67297,90.46577,12/01/2024 12:45
20.67261,90.4661,12/01/2024 12:45
20.67215,90.46626,12/01/2024 12:46
20.67156,90.46636,12/01/2024 12:46
20.67092,90.46622,12/01/2024 12:47
20.67029,90.46602,12/01/2024 12:47
20.66969,90.46582,12/01/2024 12:48
20.66918,90.46561,12/01/2024 12:48
20.66882,90.46559,12/01/2024 12:49
20.66867,90.46552,12/01/2024 12:49
20.66858,90.46581,12/01/2024 12:50
20.66861,90.46618,12/01/2024 12:50
20.66864,90.4666,12/01/2024 12:51
20.66865,90.46709,12/01/2024 12:51
20.66866,90.46759,12/01/2024 12:52
20.66875,90.46808,12/01/2024 12:52
20.66881,90.46857,12/01/2024 12:53
20.66884,90.46907,12/01/2024 12:53
20.66886,90.46957,12/01/2024 12:54
20.66888,90.47008,12/01/2024 12:54
20.6689,90.4706,12/01/2024 12:55
20.66897,90.4711,12/01/2024 12:55
20.669,90.47162,12/01/2024 12:56
20.66904,90.47213,12/01/2024 12:56
20.66908,90.47265,12/01/2024 12:57
20.66904,90.47276,12/01/2024 12:57
20.66874,90.4726,12/01/2024 12:58
20.66809,90.47284,12/01/2024 12:58
20.66738,90.47326,12/01/2024 12:59
20.66666,90.47371,12/01/2024 12:59
20.66592,90.47406,12/01/2024 13:00
20.66482,90.47458,12/01/2024 13:00
20.66469,90.47453,12/01/2024 13:01
20.66459,90.47427,12/01/2024 13:01
20.66441,90.47347,12/01/2024 13:02
20.6643,90.47265,12/01/2024 13:02
20.66413,90.47182,12/01/2024 13:03
20.66393,90.47102,12/01/2024 13:03
20.66381,90.47022,12/01/2024 13:04
20.66377,90.46941,12/01/2024 13:04
20.66373,90.46872,12/01/2024 13:05
20.6637,90.46801,12/01/2024 13:05
20.66364,90.46731,12/01/2024 13:06
20.66355,90.46673,12/01/2024 13:06
